country,state,city,station_id,station_type,pollutant,observation_date,year,value,unit,measurement_type,frequency,source
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,65,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,34,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vijayawada,AP_VIJAYAWADA_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,5,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,35,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,103,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,41,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Visakhapatnam,AP_VISAKHAPATNAM_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,12,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,NO2,2021-12-31T23:59:59,2021,19,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,PM10,2021-12-31T23:59:59,2021,72,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,PM2.5,2021-12-31T23:59:59,2021,27,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Vizianagaram,AP_VIZIANAGARAM_INTEGRATED,Integrated city-level NAMP record,SO2,2021-12-31T23:59:59,2021,9,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2021
India,Andhra Pradesh,Amaravati,AP_AMARAVATI_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,11,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Amaravati,AP_AMARAVATI_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,71,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Amaravati,AP_AMARAVATI_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,34,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Amaravati,AP_AMARAVATI_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,14,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Anantapur,AP_ANANTAPUR_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,20,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Anantapur,AP_ANANTAPUR_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,58,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Anantapur,AP_ANANTAPUR_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,24,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Anantapur,AP_ANANTAPUR_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,10,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Chittoor,AP_CHITTOOR_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,11,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Chittoor,AP_CHITTOOR_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,57,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Chittoor,AP_CHITTOOR_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,33,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Chittoor,AP_CHITTOOR_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,5,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kadapa,AP_KADAPA_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,22,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kadapa,AP_KADAPA_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,53,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kadapa,AP_KADAPA_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,34,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kadapa,AP_KADAPA_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,4,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,16,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,76,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kakinada,AP_KAKINADA_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,8,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,17,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,60,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,30,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Kurnool,AP_KURNOOL_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,7,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,16,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,78,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,38,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Rajahmundry,AP_RAJAHMUNDRY_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,10,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,20,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,72,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Srikakulam,AP_SRIKAKULAM_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,9,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,NO2,2023-12-31T23:59:59,2023,30,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,PM10,2023-12-31T23:59:59,2023,61,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,PM2.5,2023-12-31T23:59:59,2023,32,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
India,Andhra Pradesh,Tirupati,AP_TIRUPATI_INTEGRATED,Integrated city-level NAMP record,SO2,2023-12-31T23:59:59,2023,5,µg/m³,Annual Average,Annual,CPCB NAMP Ambient Air Quality Status of the Country during 2023
